"year","calls","unit_assigned","stops","arrests","pct_calls_unit_assigned","pct_unit_assigned_arrest","pct_calls_arrest"
"2021",17081,613,50,80,3.58878285814648,13.0505709624796,0.46835665359171
"2022",33665,1451,121,199,4.31011436209713,13.7146795313577,0.591118372196643
"2023",31076,1398,102,176,4.49864847470717,12.5894134477825,0.566353456043249
"2024",12392,632,37,72,5.10006455777921,11.3924050632911,0.581020012911556
"Total",94214,4094,310,527,4.34542636975396,12.8724963361016,0.559364850234572
