"year","calls","unit_assigned","stops","arrests","pct_calls_unit_assigned","pct_unit_assigned_arrest","pct_calls_arrest"
"2021",7254,465,104,45,6.41025641025641,9.67741935483871,0.620347394540943
"2022",10229,644,177,76,6.2958255938997,11.8012422360248,0.742985629093753
"2023",10181,644,129,52,6.32550829977409,8.07453416149068,0.510755328553187
"2024",3984,308,54,23,7.73092369477912,7.46753246753247,0.577309236947791
"Total",31648,2061,464,196,6.51225985844287,9.50994662785056,0.619312436804853
