"year","calls","unit_assigned","stops","arrests","pct_calls_unit_assigned","pct_unit_assigned_arrest","pct_calls_arrest"
"2021",374,21,3,2,5.61497326203209,9.52380952380952,0.53475935828877
"2022",738,35,4,NA,4.74254742547426,NA,NA
"2023",687,24,1,NA,3.49344978165939,NA,NA
"2024",308,15,1,NA,4.87012987012987,NA,NA
"Total",2107,95,9,2,4.50878025628856,2.10526315789474,0.094921689606075
